quality_score,dataset_title,resource_name,resource_format,row_count,columns,components,question
8.5,Daten der Raddauerzählstellen München 2026,15 Minuten-Werte - Januar 2026 - Daten der Raddauerzählstellen,csv,14880,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,Tageswerte und Wetter - Januar 2026 - Daten der Raddauerzählstellen München,csv,155,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,15 Minuten-Werte - Februar 2026 - Daten der Raddauerzählstellen,csv,13440,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,Tageswerte und Wetter - Februar 2026 - Daten der Raddauerzählstellen München,csv,140,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,15 Minuten-Werte - März 2026 - Daten der Raddauerzählstellen,csv,14880,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,Tageswerte und Wetter - März 2026 - Daten der Raddauerzählstellen München,csv,155,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,15 Minuten-Werte - April 2026 - Daten der Raddauerzählstellen,csv,14400,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,Tageswerte und Wetter - April 2026 - Daten der Raddauerzählstellen München,csv,150,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,15 Minuten-Werte - Mai 2026 - Daten der Raddauerzählstellen,csv,12288,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Daten der Raddauerzählstellen München 2026,Tageswerte und Wetter - Mai 2026 - Daten der Raddauerzählstellen München,csv,128,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Daten der Raddauerzählstellen München 2026 and compare richtung_1 by zaehlstelle.
8.5,Informationen zu Straßennamen,WFS (CSV),csv,,7,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Informationen zu Straßennamen and compare namenserlaeuterung by namenstyp.
8.5,Allgemeine Carsharing-Parkplätze,WFS (CSV),csv,689,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Allgemeine Carsharing-Parkplätze and compare objectid by sonderparken_typ.
8.5,Abstellflächen für E-Tretroller,WFS (CSV),csv,397,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Abstellflächen für E-Tretroller and compare objectid by tretrollersharing.
8.5,Lastenradsharing Abstellflächen,WFS (CSV),csv,313,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Lastenradsharing Abstellflächen and compare objectid by tretrollersharing.
8.5,Stationsbasierte Carsharing-Parkplätze,WFS (CSV),csv,200,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Stationsbasierte Carsharing-Parkplätze and compare objectid by anbietername.
8.5,Geofences für E-Tretroller,WFS (CSV),csv,349,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Geofences für E-Tretroller and compare objectid by bikesharing.
8.5,Abstellflächen für E-Motorroller,WFS (CSV),csv,340,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Abstellflächen für E-Motorroller and compare objectid by tretrollersharing.
8.5,Abstellflächen für Bikesharing,WFS (CSV),csv,365,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Abstellflächen für Bikesharing and compare objectid by tretrollersharing.
8.5,Mobilitätspunkte,WFS (CSV),csv,120,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Mobilitätspunkte and compare objectid by gaf_ts_vorhanden.
8.5,Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt),WFS (CSV),csv,284,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Radlstadtplan (Radfahren entgegen Einbahnstraße erlaubt) and compare status by status_bedeutung.
8.5,Radlstadtplan (Gemeinsame Rad- und Fußwege),WFS (CSV),csv,,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Radlstadtplan (Gemeinsame Rad- und Fußwege) and compare richtung by status_bedeutung.
8.5,Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone),WFS (CSV),csv,,10,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Radlstadtplan (Verkehrsberuhigter Bereich / Tempo-30-Zone) and compare status by typ.
8.5,Radlstadtplan (Radwege),WFS (CSV),csv,,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Radlstadtplan (Radwege) and compare richtung by status_bedeutung.
8.5,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege),WFS (CSV),csv,,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege) and compare richtung by status_bedeutung.
8.5,"Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata)",WFS (CSV),csv,,10,"InsightCard,MetricGrid,BarChart,DataTable","Summarize Baustellen - Temporäre Einschränkungen beim Gehen, Fahren und Parken (Opendata) and compare beeintraechtigung by art."
8.5,Bisherige Veranstaltungen der Messe München,Veranstaltungsdaten ab 2018,csv,305,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Bisherige Veranstaltungen der Messe München and compare veranstaltungsjahr by messetyp.
8.5,Indikatorenatlas: Verkehr - Motorisierungsgrad Personenkraftwagen und Krafträder,Motorisierungsgrad Personenkraftwagen und Krafträder,csv,1352,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Verkehr - Motorisierungsgrad Personenkraftwagen und Krafträder and compare Indikatorwert by Auspragung.
